time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.339339965775952e-08,-7.824093911396606e-08,10.001892947790184,6.283032271372768,8.904426100375673e-05,0.0,-6.893438034072116e-06,-9.452564157777342e-06,0.06309627030671403,-0.008214456175548546,0.0042984596658236784,0.0,425.1872015995065,425.5552030293943,425.0410600404562,424.33666391760687
0.12000000000000001,-3.6739121352325522e-06,-6.037040838932995e-06,10.0113875252929,6.28280714124249,0.00033549694976997557,0.0,-0.00014222139340319678,-0.00022917121316201074,0.2533659542578539,0.003941486414895792,0.003722932403873191,0.0,464.3739164773864,464.32869835716286,464.51726957825014,465.4694408524795
0.18,-2.1215026399920593e-05,-2.7952089329270983e-05,10.033113295694458,6.282735104640334,0.0003707295204629091,0.0,-0.0004589511876884887,-0.0004882003211004732,0.4707616170208825,-0.014240466756013233,-0.006567179600333643,0.0,473.3123359831771,472.5198590213845,473.34051610353805,471.9394831493879
0.23999999999999996,-5.262127758277493e-05,-6.514474424071838e-05,10.05665954546044,6.2815183362469895,6.283183867837291,0.0,-0.0005634255825666904,-0.0008152429533780431,0.31417198810117825,-0.03647591403620457,-0.005483847430240999,0.0,345.5013627368963,345.61563431880523,348.1518337249657,345.8176895777382
0.3,-8.54958224547757e-05,-0.00015704078489785784,10.078875077393723,6.279804352532004,7.453859028672127e-06,0.0,-0.0005177275178269699,-0.0024468770478869935,0.42630947580028555,-0.016181795491153093,0.009533666660050752,0.0,440.35747304488297,441.59779139059833,439.8960784754859,441.572798089972
0.36000000000000004,-0.00011970324113949734,-0.0003805933713421361,10.108372730204994,6.2789318226320106,0.001114414238592154,0.0,-0.0007164508859654015,-0.005102678970340192,0.556890072226943,-0.01144963410569866,0.032053575667763616,0.0,445.84311440761655,447.67895131938104,446.4660591728725,446.8520309070757
0.4200000000000001,-0.0001905996980471343,-0.0007699977697869356,10.143111375943691,6.278054057523818,0.0030282034999817853,0.0,-0.0018265705615487303,-0.007949854892680805,0.6010416171279814,-0.02189850100810798,0.031580508677530775,0.0,418.43043692857685,418.38969765545875,420.3253262122615,419.4190309614523
0.48000000000000015,-0.00035972045168414517,-0.0013410933725226917,10.179082394655032,6.2770716569284986,0.005121926986962677,0.0,-0.0039844138553985576,-0.011184701363054921,0.5979927697217867,-0.007139021228708265,0.04081340006421912,0.0,403.0311050696246,403.86525799919866,402.41907983412403,403.7527256805709
0.5400000000000001,-0.000709735878263609,-0.002135254051469965,10.217212035614242,6.276865823200174,0.007496813255946755,0.0,-0.00791974140469079,-0.015317376476719477,0.6729520321217421,0.0031111882515588198,0.03699679438178572,0.0,429.0661142078166,428.7428717398088,429.2089066880622,430.0778932749924
0.6000000000000002,-0.0013509797811755262,-0.0031854058360909652,10.260798216641305,6.277107271406322,0.010464422800930961,0.0,-0.013729442839558844,-0.019665149081255096,0.7798511162844408,0.005790319188314544,0.06691913617145338,0.0,437.9850348725449,440.4676861790335,439.81812461944355,440.03985416140773
0.6600000000000003,-0.002415790936580933,-0.004494497557335346,10.311445204804816,6.277656559081205,0.014246431547758398,0.0,-0.02217882132842661,-0.02392227934782651,0.9082834356276188,0.015153285557985403,0.053840884010979084,0.0,446.35711171502925,445.291505501084,446.7678425877393,447.53037472916736
0.7200000000000003,-0.004020883071161774,-0.006028866219825936,10.36675953463,6.278165727949528,0.01757261953003919,0.0,-0.031623189122620805,-0.027153642268414723,0.9355011176275294,-0.010208923501095674,0.058449396996822264,0.0,413.56064008494815,413.9686306469825,415.4388349193626,413.20925168526543
0.7800000000000004,-0.0062948284378013,-0.007763109077716621,10.425895260952766,6.278320688870526,0.021029699500697774,0.0,-0.044528755690772845,-0.03066940212136434,1.035597012441509,0.02037302755523183,0.05590183786917757,0.0,438.7393193067849,438.5301214085734,435.83081169369814,438.3790880268497
0.8400000000000004,-0.009430411234466933,-0.00970274017663304,10.491794991191107,6.2794176543635825,0.024037996398933004,0.0,-0.06032845937521459,-0.03386139712370582,1.1609340497200553,0.013735373528130548,0.03496198570359077,0.0,447.6655932538047,445.96015857520854,445.4821050358506,444.93902169539825
0.9000000000000005,-0.01358656143148199,-0.01181363765068636,10.565683703229213,6.28018772008692,0.027128484635616346,0.0,-0.07849949725350847,-0.036415119269773935,1.3018652828054942,0.010968795104750885,0.0727148194900987,0.0,450.5228088470799,453.566122602015,450.3074970378042,450.08354787708095
0.9600000000000005,-0.01876818065299631,-0.014047154744445184,10.643001704181899,6.280580083966907,0.031841011806768016,0.0,-0.09460175975484585,-0.03799018365493797,1.275420002107137,-0.004249766589754675,0.08819378224036072,0.0,396.48086887937865,397.9059594475466,396.6917335879545,395.2918539414168
1.0200000000000005,-0.025245843937972943,-0.01639103382491932,10.726277992545274,6.280588635070448,0.03715890106106645,0.0,-0.12195079285312534,-0.04015177717144091,1.5001656239848282,0.007731471931373055,0.08949224859382142,0.0,476.3431082299139,476.44834456296485,476.2809575571058,477.1963312337266
1.0800000000000005,-0.033518057649789955,-0.018862985850698937,10.823644606517805,6.281070460287625,0.04265225439115827,0.0,-0.15444766117213948,-0.042187362246411675,1.7450187526564502,0.008621728298967722,0.09539044302339778,0.0,482.74606010455636,483.1971767221223,483.0215727325233,483.0885775354723
